parameterName,description
SurfaceTemperature0243,Generated surface temperature sensor data
SurfaceTemperature0244,Generated surface temperature sensor data
SurfaceTemperature0245,Generated surface temperature sensor data
SurfaceTemperature0246,Generated surface temperature sensor data
SurfaceTemperature0247,Generated surface temperature sensor data
SurfaceTemperature0248,Generated surface temperature sensor data
SurfaceTemperature0249,Generated surface temperature sensor data
SurfaceTemperature0250,Generated surface temperature sensor data
SurfaceTemperature0251,Generated surface temperature sensor data
SurfaceTemperature0252,Generated surface temperature sensor data
SurfaceTemperature0253,Generated surface temperature sensor data
SurfaceTemperature0254,Generated surface temperature sensor data
SurfaceTemperature0255,Generated surface temperature sensor data
SurfaceTemperature0256,Generated surface temperature sensor data
SurfaceTemperature0257,Generated surface temperature sensor data
SurfaceTemperature0258,Generated surface temperature sensor data
SurfaceTemperature0259,Generated surface temperature sensor data
SurfaceTemperature0260,Generated surface temperature sensor data
SurfaceTemperature0261,Generated surface temperature sensor data
SurfaceTemperature0262,Generated surface temperature sensor data
SurfaceTemperature0263,Generated surface temperature sensor data
SurfaceTemperature0264,Generated surface temperature sensor data
SurfaceTemperature0265,Generated surface temperature sensor data
SurfaceTemperature0266,Generated surface temperature sensor data
SurfaceTemperature0267,Generated surface temperature sensor data
SurfaceTemperature0268,Generated surface temperature sensor data
SurfaceTemperature0269,Generated surface temperature sensor data
SurfaceTemperature0270,Generated surface temperature sensor data
SurfaceTemperature0271,Generated surface temperature sensor data
SurfaceTemperature0272,Generated surface temperature sensor data
SurfaceTemperature0273,Generated surface temperature sensor data
SurfaceTemperature0274,Generated surface temperature sensor data
SurfaceTemperature0275,Generated surface temperature sensor data
SurfaceTemperature0276,Generated surface temperature sensor data
SurfaceTemperature0277,Generated surface temperature sensor data
